Q,A,label
왜 별로야?,그냥 여러 가지가 마음에 안 들어,0
어디 갔어?,대답하고 싶지 않아요,0
대답하고 싶지 않아요,알겠습니다. 다른 이야기 해볼까요?,0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
뭐 했어?,게임 했어,0
게임 했어,무슨 게임 했어?,0
무슨 게임 했어?,롤 했어,0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
뭐 하고 있어?,일하고 있어,0
일하고 있어,무슨 일 하고 있어?,0
무슨 일 하고 있어?,보고서 작성하고 있어,0
뭐 먹었어?,피자 먹었어,0
피자 먹었어,피자 맛있었어?,0
피자 맛있었어?,"응, 맛있었어",0
뭐 했어?,게임 했어,0
게임 했어,무슨 게임 했어?,0
무슨 게임 했어?,롤 했어,0
오늘 기분 어때?,좋아,0
좋아,왜 좋아?,0
왜 좋아?,그냥 기분이 좋아,0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
어디 갔어?,집에 있었어,0
집에 있었어,집에서 뭐 했어?,0
집에서 뭐 했어?,영화 봤어,0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
오늘 기분 어때?,좋아,0
좋아,왜 좋아?,0
왜 좋아?,그냥 기분이 좋아,0
오늘 기분 어때?,좋아,0
좋아,왜 좋아?,0
왜 좋아?,그냥 기분이 좋아,0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
뭐 했어?,운동 했어,0
운동 했어,어떤 운동 했어?,0
어떤 운동 했어?,헬스 했어,0
어디 갔어?,집에 있었어,0
집에 있었어,집에서 뭐 했어?,0
집에서 뭐 했어?,영화 봤어,0
뭐 하고 있어?,공부하고 있어,0
공부하고 있어,무슨 공부 하고 있어?,0
무슨 공부 하고 있어?,수학 공부하고 있어,0
뭐 했어?,운동 했어,0
운동 했어,어떤 운동 했어?,0
어떤 운동 했어?,헬스 했어,0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
무슨 일 있었어?,별일 없었어,0
별일 없었어,그래도 뭐 특별한 일 있었어?,0
그래도 뭐 특별한 일 있었어?,없었어,0
뭐 했어?,운동 했어,0
운동 했어,어떤 운동 했어?,0
어떤 운동 했어?,헬스 했어,0
어디 갔어?,대답하고 싶지 않아요,0
대답하고 싶지 않아요,알겠습니다. 다른 이야기 해볼까요?,0
영화 봤어?,응 봤어,0
응 봤어,무슨 영화 봤어?,0
무슨 영화 봤어?,인터스텔라 봤어,0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
무슨 일 있었어?,별일 없었어,0
별일 없었어,그래도 뭐 특별한 일 있었어?,0
그래도 뭐 특별한 일 있었어?,없었어,0
뭐 하고 있어?,공부하고 있어,0
공부하고 있어,무슨 공부 하고 있어?,0
무슨 공부 하고 있어?,수학 공부하고 있어,0
무슨 일 있었어?,별일 없었어,0
별일 없었어,그래도 뭐 특별한 일 있었어?,0
그래도 뭐 특별한 일 있었어?,없었어,0
뭐 하고 있어?,공부하고 있어,0
공부하고 있어,무슨 공부 하고 있어?,0
무슨 공부 하고 있어?,수학 공부하고 있어,0
뭐 했어?,운동 했어,0
운동 했어,어떤 운동 했어?,0
어떤 운동 했어?,헬스 했어,0
영화 봤어?,응 봤어,0
응 봤어,무슨 영화 봤어?,0
무슨 영화 봤어?,인터스텔라 봤어,0
뭐 하고 있어?,일하고 있어,0
일하고 있어,무슨 일 하고 있어?,0
무슨 일 하고 있어?,보고서 작성하고 있어,0
뭐 먹었어?,피자 먹었어,0
피자 먹었어,피자 맛있었어?,0
피자 맛있었어?,"응, 맛있었어",0
뭐 했어?,게임 했어,0
게임 했어,무슨 게임 했어?,0
무슨 게임 했어?,롤 했어,0
오늘 기분 어때?,별로야,0
별로야,왜 별로야?,0
왜 별로야?,그냥 여러 가지가 마음에 안 들어,0
뭐 하고 있어?,공부하고 있어,0
공부하고 있어,무슨 공부 하고 있어?,0
무슨 공부 하고 있어?,수학 공부하고 있어,0
무슨 일 있었어?,별일 없었어,0
별일 없었어,그래도 뭐 특별한 일 있었어?,0
그래도 뭐 특별한 일 있었어?,없었어,0
무슨 일 있었어?,별일 없었어,0
별일 없었어,그래도 뭐 특별한 일 있었어?,0
그래도 뭐 특별한 일 있었어?,없었어,0
뭐 했어?,운동 했어,0
운동 했어,어떤 운동 했어?,0
어떤 운동 했어?,헬스 했어,0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
오늘 기분 어때?,별로야,0
별로야,왜 별로야?,0
왜 별로야?,그냥 여러 가지가 마음에 안 들어,0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
어디 갔어?,대답하고 싶지 않아요,0
대답하고 싶지 않아요,알겠습니다. 다른 이야기 해볼까요?,0
오늘 기분 어때?,별로야,0
별로야,왜 별로야?,0
왜 별로야?,그냥 여러 가지가 마음에 안 들어,0
오늘 기분 어때?,별로야,0
별로야,왜 별로야?,0
왜 별로야?,그냥 여러 가지가 마음에 안 들어,0
뭐 하고 있어?,일하고 있어,0
일하고 있어,무슨 일 하고 있어?,0
무슨 일 하고 있어?,보고서 작성하고 있어,0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
뭐 먹었어?,모르겠어요,0
모르겠어요,알겠습니다. 다른 질문을 할게요.,0
뭐 하고 있어?,공부하고 있어,0
공부하고 있어,무슨 공부 하고 있어?,0
무슨 공부 하고 있어?,수학 공부하고 있어,0
오늘 기분 어때?,별로야,0
별로야,왜 별로야?,0
왜 별로야?,그냥 여러 가지가 마음에 안 들어,0
무슨 일 있었어?,별일 없었어,0
별일 없었어,그래도 뭐 특별한 일 있었어?,0
그래도 뭐 특별한 일 있었어?,없었어,0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
뭐 했어?,운동 했어,0
운동 했어,어떤 운동 했어?,0
어떤 운동 했어?,헬스 했어,0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
영화 봤어?,응 봤어,0
응 봤어,무슨 영화 봤어?,0
무슨 영화 봤어?,인터스텔라 봤어,0
뭐 했어?,운동 했어,0
운동 했어,어떤 운동 했어?,0
어떤 운동 했어?,헬스 했어,0
어디 갔어?,대답하고 싶지 않아요,0
대답하고 싶지 않아요,알겠습니다. 다른 이야기 해볼까요?,0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
뭐 했어?,잘 모르겠는데요,0
잘 모르겠는데요,"그렇군요, 다른 질문을 할게요.",0
뭐 하고 있어?,일하고 있어,0
일하고 있어,무슨 일 하고 있어?,0
무슨 일 하고 있어?,보고서 작성하고 있어,0
어디 갔어?,집에 있었어,0
집에 있었어,집에서 뭐 했어?,0
집에서 뭐 했어?,영화 봤어,0
어디 갔어?,집에 있었어,0
집에 있었어,집에서 뭐 했어?,0
집에서 뭐 했어?,영화 봤어,0
오늘 기분 어때?,별로야,0
별로야,왜 별로야?,0
왜 별로야?,그냥 여러 가지가 마음에 안 들어,0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
뭐 먹었어?,피자 먹었어,0
피자 먹었어,피자 맛있었어?,0
피자 맛있었어?,"응, 맛있었어",0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
뭐 하고 있어?,공부하고 있어,0
공부하고 있어,무슨 공부 하고 있어?,0
무슨 공부 하고 있어?,수학 공부하고 있어,0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
오늘 기분 어때?,좋아,0
좋아,왜 좋아?,0
왜 좋아?,그냥 기분이 좋아,0
뭐 먹었어?,모르겠어요,0
모르겠어요,알겠습니다. 다른 질문을 할게요.,0
오늘 기분 어때?,좋아,0
좋아,왜 좋아?,0
왜 좋아?,그냥 기분이 좋아,0
뭐 하고 있어?,일하고 있어,0
일하고 있어,무슨 일 하고 있어?,0
무슨 일 하고 있어?,보고서 작성하고 있어,0
뭐 하고 있어?,공부하고 있어,0
공부하고 있어,무슨 공부 하고 있어?,0
무슨 공부 하고 있어?,수학 공부하고 있어,0
어디 갔어?,집에 있었어,0
집에 있었어,집에서 뭐 했어?,0
집에서 뭐 했어?,영화 봤어,0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
뭐 하고 있어?,공부하고 있어,0
공부하고 있어,무슨 공부 하고 있어?,0
무슨 공부 하고 있어?,수학 공부하고 있어,0
뭐 했어?,게임 했어,0
게임 했어,무슨 게임 했어?,0
무슨 게임 했어?,롤 했어,0
뭐 했어?,운동 했어,0
운동 했어,어떤 운동 했어?,0
어떤 운동 했어?,헬스 했어,0
뭐 먹었어?,모르겠어요,0
모르겠어요,알겠습니다. 다른 질문을 할게요.,0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
어디 갔어?,집에 있었어,0
집에 있었어,집에서 뭐 했어?,0
집에서 뭐 했어?,영화 봤어,0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
어디 갔어?,대답하고 싶지 않아요,0
대답하고 싶지 않아요,알겠습니다. 다른 이야기 해볼까요?,0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
뭐 먹었어?,피자 먹었어,0
피자 먹었어,피자 맛있었어?,0
피자 맛있었어?,"응, 맛있었어",0
오늘 기분 어때?,별로야,0
별로야,왜 별로야?,0
왜 별로야?,그냥 여러 가지가 마음에 안 들어,0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
뭐 먹었어?,모르겠어요,0
모르겠어요,알겠습니다. 다른 질문을 할게요.,0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
무슨 일 있었어?,별일 없었어,0
별일 없었어,그래도 뭐 특별한 일 있었어?,0
그래도 뭐 특별한 일 있었어?,없었어,0
오늘 기분 어때?,좋아,0
좋아,왜 좋아?,0
왜 좋아?,그냥 기분이 좋아,0
무슨 일 있었어?,별일 없었어,0
별일 없었어,그래도 뭐 특별한 일 있었어?,0
그래도 뭐 특별한 일 있었어?,없었어,0
뭐 하고 있어?,일하고 있어,0
일하고 있어,무슨 일 하고 있어?,0
무슨 일 하고 있어?,보고서 작성하고 있어,0
오늘 기분 어때?,별로야,0
별로야,왜 별로야?,0
왜 별로야?,그냥 여러 가지가 마음에 안 들어,0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
영화 봤어?,응 봤어,0
응 봤어,무슨 영화 봤어?,0
무슨 영화 봤어?,인터스텔라 봤어,0
어디 갔어?,대답하고 싶지 않아요,0
대답하고 싶지 않아요,알겠습니다. 다른 이야기 해볼까요?,0
무슨 일 있었어?,별일 없었어,0
별일 없었어,그래도 뭐 특별한 일 있었어?,0
그래도 뭐 특별한 일 있었어?,없었어,0
오늘 기분 어때?,좋아,0
좋아,왜 좋아?,0
왜 좋아?,그냥 기분이 좋아,0
영화 봤어?,응 봤어,0
응 봤어,무슨 영화 봤어?,0
무슨 영화 봤어?,인터스텔라 봤어,0
뭐 했어?,잘 모르겠는데요,0
잘 모르겠는데요,"그렇군요, 다른 질문을 할게요.",0
뭐 했어?,잘 모르겠는데요,0
잘 모르겠는데요,"그렇군요, 다른 질문을 할게요.",0
뭐 먹었어?,피자 먹었어,0
피자 먹었어,피자 맛있었어?,0
피자 맛있었어?,"응, 맛있었어",0
뭐 하고 있어?,공부하고 있어,0
공부하고 있어,무슨 공부 하고 있어?,0
무슨 공부 하고 있어?,수학 공부하고 있어,0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
뭐 했어?,운동 했어,0
운동 했어,어떤 운동 했어?,0
어떤 운동 했어?,헬스 했어,0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
뭐 하고 있어?,공부하고 있어,0
공부하고 있어,무슨 공부 하고 있어?,0
무슨 공부 하고 있어?,수학 공부하고 있어,0
무슨 일 있었어?,별일 없었어,0
별일 없었어,그래도 뭐 특별한 일 있었어?,0
그래도 뭐 특별한 일 있었어?,없었어,0
오늘 기분 어때?,좋아,0
좋아,왜 좋아?,0
왜 좋아?,그냥 기분이 좋아,0
오늘 기분 어때?,별로야,0
별로야,왜 별로야?,0
왜 별로야?,그냥 여러 가지가 마음에 안 들어,0
뭐 했어?,게임 했어,0
게임 했어,무슨 게임 했어?,0
무슨 게임 했어?,롤 했어,0
오늘 기분 어때?,별로야,0
별로야,왜 별로야?,0
왜 별로야?,그냥 여러 가지가 마음에 안 들어,0
오늘 기분 어때?,별로야,0
별로야,왜 별로야?,0
왜 별로야?,그냥 여러 가지가 마음에 안 들어,0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
영화 봤어?,응 봤어,0
응 봤어,무슨 영화 봤어?,0
무슨 영화 봤어?,인터스텔라 봤어,0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
영화 봤어?,응 봤어,0
응 봤어,무슨 영화 봤어?,0
무슨 영화 봤어?,인터스텔라 봤어,0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
뭐 했어?,운동 했어,0
운동 했어,어떤 운동 했어?,0
어떤 운동 했어?,헬스 했어,0
영화 봤어?,응 봤어,0
응 봤어,무슨 영화 봤어?,0
무슨 영화 봤어?,인터스텔라 봤어,0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
어디 갔어?,대답하고 싶지 않아요,0
대답하고 싶지 않아요,알겠습니다. 다른 이야기 해볼까요?,0
뭐 먹었어?,다른 얘기 해볼까요?,0
다른 얘기 해볼까요?,"좋아요, 어떤 얘기를 할까요?",0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
오늘 기분 어때?,좋아,0
좋아,왜 좋아?,0
왜 좋아?,그냥 기분이 좋아,0
뭐 했어?,잘 모르겠는데요,0
잘 모르겠는데요,"그렇군요, 다른 질문을 할게요.",0
뭐 먹었어?,피자 먹었어,0
피자 먹었어,피자 맛있었어?,0
피자 맛있었어?,"응, 맛있었어",0
뭐 했어?,운동 했어,0
운동 했어,어떤 운동 했어?,0
어떤 운동 했어?,헬스 했어,0
무슨 일 있었어?,별일 없었어,0
별일 없었어,그래도 뭐 특별한 일 있었어?,0
그래도 뭐 특별한 일 있었어?,없었어,0
뭐 하고 있어?,공부하고 있어,0
공부하고 있어,무슨 공부 하고 있어?,0
무슨 공부 하고 있어?,수학 공부하고 있어,0
뭐 먹었어?,피자 먹었어,0
피자 먹었어,피자 맛있었어?,0
피자 맛있었어?,"응, 맛있었어",0
뭐 했어?,게임 했어,0
게임 했어,무슨 게임 했어?,0
무슨 게임 했어?,롤 했어,0
뭐 먹었어?,다른 얘기 해볼까요?,0
다른 얘기 해볼까요?,"좋아요, 어떤 얘기를 할까요?",0
오늘 기분 어때?,별로야,0
별로야,왜 별로야?,0
왜 별로야?,그냥 여러 가지가 마음에 안 들어,0
무슨 일 있었어?,별일 없었어,0
별일 없었어,그래도 뭐 특별한 일 있었어?,0
그래도 뭐 특별한 일 있었어?,없었어,0
뭐 하고 있어?,일하고 있어,0
일하고 있어,무슨 일 하고 있어?,0
무슨 일 하고 있어?,보고서 작성하고 있어,0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
오늘 기분 어때?,좋아,0
좋아,왜 좋아?,0
왜 좋아?,그냥 기분이 좋아,0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
어디 갔어?,집에 있었어,0
집에 있었어,집에서 뭐 했어?,0
집에서 뭐 했어?,영화 봤어,0
뭐 하고 있어?,일하고 있어,0
일하고 있어,무슨 일 하고 있어?,0
무슨 일 하고 있어?,보고서 작성하고 있어,0
뭐 먹었어?,피자 먹었어,0
피자 먹었어,피자 맛있었어?,0
피자 맛있었어?,"응, 맛있었어",0
어디 갔어?,대답하고 싶지 않아요,0
대답하고 싶지 않아요,알겠습니다. 다른 이야기 해볼까요?,0
뭐 하고 있어?,일하고 있어,0
일하고 있어,무슨 일 하고 있어?,0
무슨 일 하고 있어?,보고서 작성하고 있어,0
뭐 했어?,게임 했어,0
게임 했어,무슨 게임 했어?,0
무슨 게임 했어?,롤 했어,0
어디 갔어?,집에 있었어,0
집에 있었어,집에서 뭐 했어?,0
집에서 뭐 했어?,영화 봤어,0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
어디 갔어?,집에 있었어,0
집에 있었어,집에서 뭐 했어?,0
집에서 뭐 했어?,영화 봤어,0
뭐 했어?,운동 했어,0
운동 했어,어떤 운동 했어?,0
어떤 운동 했어?,헬스 했어,0
오늘 기분 어때?,별로야,0
별로야,왜 별로야?,0
왜 별로야?,그냥 여러 가지가 마음에 안 들어,0
어디 갔어?,집에 있었어,0
집에 있었어,집에서 뭐 했어?,0
집에서 뭐 했어?,영화 봤어,0
뭐 했어?,잘 모르겠는데요,0
잘 모르겠는데요,"그렇군요, 다른 질문을 할게요.",0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
뭐 했어?,운동 했어,0
운동 했어,어떤 운동 했어?,0
어떤 운동 했어?,헬스 했어,0
오늘 기분 어때?,별로야,0
별로야,왜 별로야?,0
왜 별로야?,그냥 여러 가지가 마음에 안 들어,0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
뭐 하고 있어?,일하고 있어,0
일하고 있어,무슨 일 하고 있어?,0
무슨 일 하고 있어?,보고서 작성하고 있어,0
어디 갔어?,대답하고 싶지 않아요,0
대답하고 싶지 않아요,알겠습니다. 다른 이야기 해볼까요?,0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
무슨 일 있었어?,별일 없었어,0
별일 없었어,그래도 뭐 특별한 일 있었어?,0
그래도 뭐 특별한 일 있었어?,없었어,0
무슨 일 있었어?,별일 없었어,0
별일 없었어,그래도 뭐 특별한 일 있었어?,0
그래도 뭐 특별한 일 있었어?,없었어,0
무슨 일 있었어?,별일 없었어,0
별일 없었어,그래도 뭐 특별한 일 있었어?,0
그래도 뭐 특별한 일 있었어?,없었어,0
뭐 하고 있어?,공부하고 있어,0
공부하고 있어,무슨 공부 하고 있어?,0
무슨 공부 하고 있어?,수학 공부하고 있어,0
뭐 하고 있어?,일하고 있어,0
일하고 있어,무슨 일 하고 있어?,0
무슨 일 하고 있어?,보고서 작성하고 있어,0
뭐 먹었어?,모르겠어요,0
모르겠어요,알겠습니다. 다른 질문을 할게요.,0
영화 봤어?,응 봤어,0
응 봤어,무슨 영화 봤어?,0
무슨 영화 봤어?,인터스텔라 봤어,0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
어디 갔어?,집에 있었어,0
집에 있었어,집에서 뭐 했어?,0
집에서 뭐 했어?,영화 봤어,0
어디 갔어?,집에 있었어,0
집에 있었어,집에서 뭐 했어?,0
집에서 뭐 했어?,영화 봤어,0
뭐 했어?,잘 모르겠는데요,0
잘 모르겠는데요,"그렇군요, 다른 질문을 할게요.",0
뭐 하고 있어?,공부하고 있어,0
공부하고 있어,무슨 공부 하고 있어?,0
무슨 공부 하고 있어?,수학 공부하고 있어,0
뭐 하고 있어?,일하고 있어,0
일하고 있어,무슨 일 하고 있어?,0
무슨 일 하고 있어?,보고서 작성하고 있어,0
어디 갔어?,집에 있었어,0
집에 있었어,집에서 뭐 했어?,0
집에서 뭐 했어?,영화 봤어,0
뭐 하고 있어?,공부하고 있어,0
공부하고 있어,무슨 공부 하고 있어?,0
무슨 공부 하고 있어?,수학 공부하고 있어,0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
뭐 했어?,게임 했어,0
게임 했어,무슨 게임 했어?,0
무슨 게임 했어?,롤 했어,0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
영화 봤어?,응 봤어,0
응 봤어,무슨 영화 봤어?,0
무슨 영화 봤어?,인터스텔라 봤어,0
뭐 하고 있어?,일하고 있어,0
일하고 있어,무슨 일 하고 있어?,0
무슨 일 하고 있어?,보고서 작성하고 있어,0
뭐 하고 있어?,일하고 있어,0
일하고 있어,무슨 일 하고 있어?,0
무슨 일 하고 있어?,보고서 작성하고 있어,0
오늘 기분 어때?,좋아,0
좋아,왜 좋아?,0
왜 좋아?,그냥 기분이 좋아,0
무슨 일 있었어?,별일 없었어,0
별일 없었어,그래도 뭐 특별한 일 있었어?,0
그래도 뭐 특별한 일 있었어?,없었어,0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
뭐 했어?,잘 모르겠는데요,0
잘 모르겠는데요,"그렇군요, 다른 질문을 할게요.",0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
뭐 먹었어?,피자 먹었어,0
피자 먹었어,피자 맛있었어?,0
피자 맛있었어?,"응, 맛있었어",0
뭐 먹었어?,피자 먹었어,0
피자 먹었어,피자 맛있었어?,0
피자 맛있었어?,"응, 맛있었어",0
무슨 일 있었어?,별일 없었어,0
별일 없었어,그래도 뭐 특별한 일 있었어?,0
그래도 뭐 특별한 일 있었어?,없었어,0
뭐 먹었어?,피자 먹었어,0
피자 먹었어,피자 맛있었어?,0
피자 맛있었어?,"응, 맛있었어",0
어디 갔어?,집에 있었어,0
집에 있었어,집에서 뭐 했어?,0
집에서 뭐 했어?,영화 봤어,0
오늘 기분 어때?,좋아,0
좋아,왜 좋아?,0
왜 좋아?,그냥 기분이 좋아,0
뭐 먹었어?,다른 얘기 해볼까요?,0
다른 얘기 해볼까요?,"좋아요, 어떤 얘기를 할까요?",0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
뭐 먹었어?,다른 얘기 해볼까요?,0
다른 얘기 해볼까요?,"좋아요, 어떤 얘기를 할까요?",0
어디 갔어?,카페 갔어,0
카페 갔어,카페에서 뭐 했어?,0
카페에서 뭐 했어?,책 읽었어,0
뭐 했어?,게임 했어,0
게임 했어,무슨 게임 했어?,0
무슨 게임 했어?,롤 했어,0
뭐 했어?,게임 했어,0
게임 했어,무슨 게임 했어?,0
무슨 게임 했어?,롤 했어,0
무슨 일 있었어?,별일 없었어,0
별일 없었어,그래도 뭐 특별한 일 있었어?,0
그래도 뭐 특별한 일 있었어?,없었어,0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
뭐 먹었어?,피자 먹었어,0
피자 먹었어,피자 맛있었어?,0
피자 맛있었어?,"응, 맛있었어",0
뭐 하고 있어?,일하고 있어,0
일하고 있어,무슨 일 하고 있어?,0
무슨 일 하고 있어?,보고서 작성하고 있어,0
뭐 먹었어?,모르겠어요,0
모르겠어요,알겠습니다. 다른 질문을 할게요.,0
뭐 했어?,운동 했어,0
운동 했어,어떤 운동 했어?,0
어떤 운동 했어?,헬스 했어,0
오늘 기분 어때?,별로야,0
별로야,왜 별로야?,0
왜 별로야?,그냥 여러 가지가 마음에 안 들어,0
뭐 먹었어?,햄버거 먹었어,0
햄버거 먹었어,햄버거 맛있었어?,0
햄버거 맛있었어?,"응, 맛있었어",0
뭐 먹었어?,라면 먹었어,0
라면 먹었어,라면 맛있었어?,0
라면 맛있었어?,"응, 맛있었어",0
오늘 기분 어때?,별로야,0
별로야,왜 별로야?,0
왜 별로야?,그냥 여러 가지가 마음에 안 들어,0
뭐 하고 있어?,공부하고 있어,0
공부하고 있어,무슨 공부 하고 있어?,0
무슨 공부 하고 있어?,수학 공부하고 있어,0
영화 봤어?,응 봤어,0
응 봤어,무슨 영화 봤어?,0
무슨 영화 봤어?,인터스텔라 봤어,0
